name,occupation,count,birthtime,birthplace,location,point,chart
Giacomo_Casanova,r_priests-theologians,0,"['1725', 4, '2']","Venice, Italy","Venezia, Veneto, Italia","('45n4372', '12e3346')",<flatlib.chart.Chart object at 0x624d90b00>
C._S._Lewis,r_priests-theologians,1,"['1898', 11, '29']","Belfast, Northern Ireland, United Kingdom","Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","('54n5964', '5w9303')",<flatlib.chart.Chart object at 0x624d90400>
Soeren_Kierkegaard,r_priests-theologians,2,"['1813', 5, '5']","Copenhagen, Denmark","København, Københavns Kommune, Region Hovedstaden, 1357, Danmark","('55n6867', '12e5701')",<flatlib.chart.Chart object at 0x624e98f60>
Teresa_Benedicta,r_priests-theologians,3,"['1891', 10, '12', '00:30']","Hof, Germany","Hof, Bayern, 95028, Deutschland","('50n3219', '11e9179')",<flatlib.chart.Chart object at 0x624e98828>
Dietrich_von_Hildebrand,r_priests-theologians,5,"['1889', 10, '12', '09:00']","Florence, Italy","Firenze, Toscana, Italia","('43n7699', '11e2556')",<flatlib.chart.Chart object at 0x624d90128>
Paracelsus,r_priests-theologians,7,"['1493', 11, '19', '10:23']","Einsiedeln, Switzerland","Einsiedeln, Schwyz, 8840, Switzerland","('47n1286', '8e75')",<flatlib.chart.Chart object at 0x624eb2048>
Isaac_Newton,r_priests-theologians,8,"['1643', 1, '4', '01:38']","Woolsthorpe, England, United Kingdom","Woolsthorpe, Lincolnshire, East Midlands, England, NG33 5NS, United Kingdom","('52n8096', '0w6322')",<flatlib.chart.Chart object at 0x624ebbcf8>
Martin_Luther,r_priests-theologians,11,"['1483', 11, '19', '22:46']","Lutherstadt Eisleben, Germany","Lutherstadt Eisleben, Mansfeld-Südharz, Sachsen-Anhalt, 06295, Deutschland","('51n5283', '11e5466')",<flatlib.chart.Chart object at 0x624ebbda0>
Antonio_Vivaldi,r_priests-theologians,12,"['1678', 3, '4', '17:50']","Venice, Italy","Venezia, Veneto, Italia","('45n4372', '12e3346')",<flatlib.chart.Chart object at 0x624eb2eb8>
Jean_Baptiste_Lamy,r_priests-theologians,13,"['1814', 10, '11', '05:00']","Lempdes, France","Lempdes, Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63370, France","('45n7727', '3e1948')",<flatlib.chart.Chart object at 0x624ebb630>
Karl_Barth,r_priests-theologians,14,"['1886', 5, '10', '04:30']","Basel, Switzerland","Basel, Basel-Stadt, Switzerland","('47n5581', '7e5878')",<flatlib.chart.Chart object at 0x625045588>
Augustin_Bea,r_priests-theologians,15,"['1881', 5, '28', '03:30']","Blumberg, Germany","Blumberg, Schwarzwald-Baar-Kreis, Baden-Württemberg, 78176, Deutschland","('47n8401', '8e5341')",<flatlib.chart.Chart object at 0x6250ea908>
Daniel_Berrigan,r_priests-theologians,16,"['1921', 5, '9', '18:30']","Virginia, Minnesota, United States","Virginia, Saint Louis County, Minnesota, 55792, United States of America","('47n5233', '92w5366')",<flatlib.chart.Chart object at 0x626d9afd0>
Saint_John_Bosco,r_priests-theologians,19,"['1815', 8, '16', '17:20']","Castelnuovo Don Bosco, Italy","Castelnuovo Don Bosco, Asti, Piemonte, Italia","('45n0408', '7e9631')",<flatlib.chart.Chart object at 0x626d9aa58>
Jerald_C._Brauer,r_priests-theologians,21,"['1921', 9, '16', '23:45']","Fond du Lac, Wisconsin, United States","Fond du Lac County, Wisconsin, United States of America","('43n7533', '88w4494')",<flatlib.chart.Chart object at 0x624823da0>
Michel_de_Certeau,r_priests-theologians,24,"['1925', 5, '17', '01:00']","Chambry, France","Chambry, Meaux, Seine-et-Marne, Île-de-France, France métropolitaine, 77910, France","('48n9986', '2e8938')",<flatlib.chart.Chart object at 0x624823390>
James_Edward_Cheek,r_priests-theologians,25,"['1932', 12, '4', '14:30']","Roanoke Rapids, North Carolina, United States","Roanoke Rapids, Halifax County, North Carolina, United States of America","('36n4611', '77w6548')",<flatlib.chart.Chart object at 0x6247dcd30>
Dom_Christian,r_priests-theologians,26,"['1937', 1, '18', '23:00']","Colmar, France","Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France","('48n0778', '7e358')",<flatlib.chart.Chart object at 0x6247dc6d8>
Dom_Christophe_Lebreton,r_priests-theologians,27,"['1950', 10, '1', '14:30']","Blois, France","Blois, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41000, France","('47n5877', '1e3338')",<flatlib.chart.Chart object at 0x624aef320>
Father_Joseph_Damien,r_priests-theologians,29,"['1840', 1, '3', '12:30']","Tremelo, Belgium","Tremelo, Vlaams-Brabant, Vlaanderen, België - Belgique - Belgien","('50n9919', '4e7041')",<flatlib.chart.Chart object at 0x624aefac8>
Jean_Daniélou,r_priests-theologians,30,"['1905', 5, '14', '21:00']","Neuilly-sur-Seine, France","Neuilly-sur-Seine, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92200, France","('48n8847', '2e2696')",<flatlib.chart.Chart object at 0x624aefdd8>
Charles_De_Foucauld,r_priests-theologians,31,"['1858', 9, '15', '17:00']","Strasbourg, France","Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France","('48n5846', '7e7507')",<flatlib.chart.Chart object at 0x6248afe80>
Alfred_Delp,r_priests-theologians,32,"['1907', 9, '15', '19:00']","Mannheim, Germany","Mannheim, Baden-Württemberg, 68161, Deutschland","('49n4896', '8e4672')",<flatlib.chart.Chart object at 0x6248afc88>
Pierre-Jean_Desmet,r_priests-theologians,33,"['1801', 1, '30', '05:00']","Dendermonde, Belgium","Dendermonde, Oost-Vlaanderen, Vlaanderen, 9200, België - Belgique - Belgien","('51n0312', '4e0981')",<flatlib.chart.Chart object at 0x625ac13c8>
Johannes_Dyba,r_priests-theologians,36,"['1929', 9, '15', '15:00']","Berlin, Germany","Berlin, Deutschland","('52n517', '13e3889')",<flatlib.chart.Chart object at 0x625ac14a8>
Josemaría_Escrivá_de_Balaguer,r_priests-theologians,37,"['1902', 1, '9', '22:00']","Barbastro, Spain","Barbastro, Somontano de Barbastro, Huesca, Aragón, 22300, España","('42n0353', '0e1274')",<flatlib.chart.Chart object at 0x625fdbba8>
Roger_Etchegaray,r_priests-theologians,38,"['1922', 9, '25', '23:00']","Bayonne, France","Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64100, France","('43n4933', '1w4751')",<flatlib.chart.Chart object at 0x625fdbac8>
Joseph_Gratry,r_priests-theologians,40,"['1805', 3, '30', '22:45']","Lille, France","Lille, Nord, Hauts-de-France, France métropolitaine, France","('50n6366', '3e0635')",<flatlib.chart.Chart object at 0x6254ee748>
Auguste_Gratry,r_priests-theologians,41,"['1805', 3, '30', '22:33']","Lille, France","Lille, Nord, Hauts-de-France, France métropolitaine, France","('50n6366', '3e0635')",<flatlib.chart.Chart object at 0x625544c50>
Andrew_Greeley,r_priests-theologians,42,"['1928', 2, '5', '11:34']","Oak Park, Illinois, United States","Oak Park, Cook County, Illinois, United States of America","('41n8878', '87w7888')",<flatlib.chart.Chart object at 0x6255b0e48>
Romano_Guardini,r_priests-theologians,43,"['1885', 2, '17', '01:30']","Verona, Italy","Verona, Veneto, Italia","('45n4385', '10e9924')",<flatlib.chart.Chart object at 0x6255b01d0>
Jean_Guitton,r_priests-theologians,44,"['1901', 8, '18', '15:00']","Saint-tienne, France","La Tienne, Salles-de-Belvès, Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24170, France","('44n7262', '1e0069')",<flatlib.chart.Chart object at 0x625544748>
Ernest_Hello,r_priests-theologians,45,"['1828', 11, '5', '00:26']","Lorient, France","Lorient, Morbihan, Bretagne, France métropolitaine, 56100, France","('47n7477', '3w3661')",<flatlib.chart.Chart object at 0x625705be0>
Peter_Kentenuch,r_priests-theologians,46,"['1885', 11, '18', '07:00']","Erftstadt, Germany","Erftstadt, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50374, Deutschland","('50n79', '6e7815')",<flatlib.chart.Chart object at 0x625705978>
Therese_Neumann,r_priests-theologians,48,"['1898', 4, '9', '01:00']","Konnersreuth, Germany","Konnersreuth, Landkreis Tirschenreuth, Bayern, 95692, Deutschland","('50n0109', '12e2266')",<flatlib.chart.Chart object at 0x62573f208>
Jean-Baptiste_Lacordaire,r_priests-theologians,49,"['1802', 5, '12', '07:00']","Recey-sur-Ource, France","Recey-sur-Ource, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21290, France","('47n7798', '4e8607')",<flatlib.chart.Chart object at 0x62573f9b0>
Karl_Leisner,r_priests-theologians,50,"['1915', 2, '28', '08:45']","Rees, Germany","Rees, Kreis Kleve, Nordrhein-Westfalen, 46459, Deutschland","('51n7581', '6e3957')",<flatlib.chart.Chart object at 0x62575ada0>
William_Levada,r_priests-theologians,51,"['1936', 6, '15', '19:25']","Long Beach, California, United States","Long Beach, Los Angeles County, California, United States of America","('33n769', '118w1916')",<flatlib.chart.Chart object at 0x624abf358>
Roger_Mahony,r_priests-theologians,52,"['1936', 2, '27', '18:14']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6250a84e0>
Adam_Maida,r_priests-theologians,53,"['1930', 3, '18', '06:00']","East Vandergrift, Pennsylvania, United States","East Vandergrift, Westmoreland County, Pennsylvania, 15629, United States of America","('40n5981', '79w5612')",<flatlib.chart.Chart object at 0x6250a87f0>
Jacques_Maritain,r_priests-theologians,54,"['1882', 11, '18', '13:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6250a8208>
Thomas_Merton,r_priests-theologians,55,"['1915', 1, '31', '09:00']","Prades, France","Prades, Largentière, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07380, France","('44n6382', '4e3161')",<flatlib.chart.Chart object at 0x6250edf98>
Emmanuel_Mounier,r_priests-theologians,56,"['1905', 4, '1', '11:00']","Grenoble, France","Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France","('45n1876', '5e7358')",<flatlib.chart.Chart object at 0x6250edf60>
Attilio_Nicora,r_priests-theologians,57,"['1937', 3, '16', '00:15']","Varese, Italy","Varese, Lombardia, Italia","('45n8397', '8e7542')",<flatlib.chart.Chart object at 0x6251009b0>
Martin_Niemoller,r_priests-theologians,58,"['1892', 1, '14', '23:45']","Lippstadt, Germany","Lippstadt, Kreis Soest, Nordrhein-Westfalen, Deutschland","('51n6747', '8e3472')",<flatlib.chart.Chart object at 0x625100f28>
Conrad_Noel,r_priests-theologians,59,"['1869', 7, '12', '02:25']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x628472080>
Rudolph_Otto,r_priests-theologians,60,"['1869', 9, '25', '11:00']","Peine, Germany","Peine, Landkreis Peine, Niedersachsen, Deutschland","('52n3218', '10e2349')",<flatlib.chart.Chart object at 0x628472208>
Abbé_Pierre,r_priests-theologians,61,"['1912', 8, '5', '11:00']","Lyon, France","Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France","('45n7578', '4e832')",<flatlib.chart.Chart object at 0x627a1c128>
G._Quispel,r_priests-theologians,63,"['1916', 5, '30', '12:00']","Rotterdam, Netherlands","Rotterdam, Zuid-Holland, Nederland","('51n9229', '4e4632')",<flatlib.chart.Chart object at 0x627a1cf98>
Giovanni_Battista_Re,r_priests-theologians,64,"['1934', 1, '30', '22:30']","Borno, Italy","Borno, Comunità montana della valle Camonica, Brescia, Lombardia, 25042, Italia","('45n9473', '10e2064')",<flatlib.chart.Chart object at 0x62819cc18>
Gabriel_Richard,r_priests-theologians,65,"['1767', 10, '15', '10:00']","Saintes, France","Saintes, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17100, France","('45n7421', '0w6299')",<flatlib.chart.Chart object at 0x62819c668>
Justin_Rigali,r_priests-theologians,66,"['1935', 4, '19', '13:10']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6250e5278>
Albrecht_Ritschl,r_priests-theologians,67,"['1822', 3, '25', '04:15']","Berlin, Germany","Berlin, Deutschland","('52n517', '13e3889')",<flatlib.chart.Chart object at 0x6279ae400>
Bruce_Ritter,r_priests-theologians,68,"['1927', 2, '25', '10:30']","Hamilton Township, New Jersey, United States","Hamilton Township, Mercer County, New Jersey, United States of America","('40n2042', '74w6793')",<flatlib.chart.Chart object at 0x6279a7898>
David_Friedrich_Strauss,r_priests-theologians,71,"['1808', 1, '27', '03:00']","Ludwigsburg, Germany","Ludwigsburg, Landkreis Ludwigsburg, Baden-Württemberg, Deutschland","('48n8954', '9e1895')",<flatlib.chart.Chart object at 0x6279a7390>
Helmut_Thielicke,r_priests-theologians,73,"['1908', 12, '4', '18:30']","Wuppertal, Germany","Wuppertal, Nordrhein-Westfalen, 42285, Deutschland","('51n264', '7e178')",<flatlib.chart.Chart object at 0x6279ae198>
Ernst_Troeltsch,r_priests-theologians,74,"['1865', 2, '17', '01:30']","Augsburg, Germany","Augsburg, Bayern, Deutschland","('48n3668', '10e8987')",<flatlib.chart.Chart object at 0x62753d550>
Cyriel_Verschaeve,r_priests-theologians,75,"['1874', 4, '30', '12:00']","Ardooie, Belgium","Ardooie, West-Vlaanderen, Vlaanderen, 8850, België - Belgique - Belgien","('50n9708', '3e2046')",<flatlib.chart.Chart object at 0x62753dd68>
Marc_Vervenne,r_priests-theologians,76,"['1949', 4, '16', '11:30']","Ypry, Belgium","Ieper, West-Vlaanderen, Vlaanderen, België - Belgique - Belgien","('50n8517', '2e8915')",<flatlib.chart.Chart object at 0x6275390b8>
Emanuel_Swedenborg,r_priests-theologians,78,"['1688', 2, '8', '05:45']","Stockholm, Sweden","Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige","('59n3251', '18e0711')",<flatlib.chart.Chart object at 0x627539390>
Hans_Küng,r_priests-theologians,80,"['1928', 3, '19', '17:45']","Sursee, Switzerland","Sursee, Amtsbezirk Niedersimmental, Luzern, 6210, Switzerland","('47n174', '8e109')",<flatlib.chart.Chart object at 0x62738aa90>
Gabriele_Amorth,r_priests-theologians,83,"['1925', 5, '1', '16:10']","Modena, Italy","Modena, Emilia-Romagna, Italia","('44n5385', '10e936')",<flatlib.chart.Chart object at 0x62738a358>
Bernard-Nicholas_Aubertin,r_priests-theologians,84,"['1944', 9, '9', '19:30']","pinal, France","Pinal, Le Château, Coligny, Bourg-en-Bresse, Ain, Auvergne-Rhône-Alpes, France métropolitaine, 01270, France","('46n385', '5e3429')",<flatlib.chart.Chart object at 0x6273852e8>
Sebastiano_Baggio,r_priests-theologians,85,"['1913', 5, '16', '08:15']","Ros, Italy","Ros, Marcheno, Comunità montana della valle Trompia, Brescia, Lombardia, 25063, Italia","('45n7219', '10e2262')",<flatlib.chart.Chart object at 0x627385518>
Philip_Berrigan,r_priests-theologians,87,"['1923', 10, '5', '00:45']","Two Harbors, Minnesota, United States","Two Harbors, Lake County, Minnesota, United States of America","('47n0257', '91w6729')",<flatlib.chart.Chart object at 0x6272e93c8>
Regis_Beton,r_priests-theologians,88,"['1901', 2, '3', '10:51']","Villefranche-sur-Mer, France","Villefranche-sur-Mer, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06230, France","('43n7042', '7e31')",<flatlib.chart.Chart object at 0x6272e9208>
Malcolm_Boyd,r_priests-theologians,89,"['1923', 6, '8', '14:00']","Buffalo, New York, United States","Buffalo, Erie County, New York, United States of America","('42n8867', '78w8784')",<flatlib.chart.Chart object at 0x6246caa20>
Tod_Brown,r_priests-theologians,90,"['1936', 11, '15', '08:55']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x6246ca160>
Fabrian_W._Bruskewitz,r_priests-theologians,91,"['1935', 9, '6', '02:30']","Milwaukee, Wisconsin, United States","Milwaukee, Milwaukee County, Wisconsin, United States of America","('43n035', '87w9225')",<flatlib.chart.Chart object at 0x624aa6908>
Agostino_Cacciavillan,r_priests-theologians,92,"['1926', 8, '14', '10:00']","Noale, Italy","Noale, Venezia, Veneto, 30033, Italia","('45n5501', '12e0721')",<flatlib.chart.Chart object at 0x624aa6080>
Francis_J._Christian,r_priests-theologians,93,"['1942', 10, '8', '07:45']","Peterborough, New Hampshire, United States","Peterborough, Hillsborough County, New Hampshire, United States of America","('42n8776', '71w9494')",<flatlib.chart.Chart object at 0x10e6dac88>
Celso_Constantini,r_priests-theologians,94,"['1876', 4, '3', '02:00']","Castions, Italy","Castions, UTI del Noncello, Friuli Venezia Giulia, 33072, Italia","('45n9732', '12e7983')",<flatlib.chart.Chart object at 0x624aa6a90>
Andrea_Cordero_Lanza,r_priests-theologians,95,"['1925', 8, '27', '11:00']","Turin, Italy","Torino, Piemonte, Italia","('45n0678', '7e6825')",<flatlib.chart.Chart object at 0x62802a8d0>
Jacques_Coutela,r_priests-theologians,96,"['1925', 10, '31', '07:15']","Vincennes, France","Vincennes, Nogent-sur-Marne, Val-de-Marne, Île-de-France, France métropolitaine, 94300, France","('48n8475', '2e4397')",<flatlib.chart.Chart object at 0x62802af60>
Luigi_Dadaglio,r_priests-theologians,97,"['1914', 9, '28', '02:00']","Sezzadio, Italy","Sezzadio, Alessandria, Piemonte, Italia","('44n7848', '8e5725')",<flatlib.chart.Chart object at 0x6280eb5c0>
Elia_Dalla_Costa,r_priests-theologians,98,"['1872', 5, '14', '14:00']","Villaverla, Italy","Villaverla, Vicenza, Veneto, Italia","('45n6512', '11e4941')",<flatlib.chart.Chart object at 0x6280eb710>
Georges_Darboy,r_priests-theologians,99,"['1813', 1, '16', '15:00']","Fayl-Billot, France","Fayl-Billot, Langres, Haute-Marne, Grand Est, France métropolitaine, 52500, France","('47n7817', '5e6012')",<flatlib.chart.Chart object at 0x6278b52b0>
Albert_Decourtray,r_priests-theologians,100,"['1925', 4, '9', '19:00']","Wattignies, France","Wattignies, Lille, Nord, Hauts-de-France, France métropolitaine, 59139, France","('50n5879', '3e0512')",<flatlib.chart.Chart object at 0x6278b5a20>
Luigi_Di_Liegro,r_priests-theologians,102,"['1928', 10, '16', '20:00']","Gaeta, Italy","Gaeta, Latina, 04024, Italia","('41n2183', '13e5628')",<flatlib.chart.Chart object at 0x6272aeda0>
Nicholas_Di_Marzio,r_priests-theologians,103,"['1944', 6, '16', '10:37']","Newark, New Jersey, United States","Newark, Essex County, New Jersey, United States of America","('40n7357', '74w1724')",<flatlib.chart.Chart object at 0x626f16e10>
Etienne_Drioton,r_priests-theologians,104,"['1889', 11, '21', '17:00']","Nancy, France","Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54100, France","('48n6937', '6e1834')",<flatlib.chart.Chart object at 0x626f16be0>
Edward_Flanagan,r_priests-theologians,105,"['1886', 7, '13']","Roscommon, Ireland","County Roscommon, Connacht, Ireland","('53n6983', '8w2183')",<flatlib.chart.Chart object at 0x626f12898>
