name,occupation,count,birthtime,birthplace,location,point,chart
Bruce_Willis,r_producers,0,"['1955', 3, '19', '18:32']","Idar-Oberstein, Germany","Idar-Oberstein, Landkreis Birkenfeld, Rheinland-Pfalz, 55743, Deutschland","('49n7106', '7e3133')",<flatlib.chart.Chart object at 0x6246a6470>
Eddie_Murphy,r_producers,1,"['1961', 4, '3', '13:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6246b5240>
Ewan_McGregor,r_producers,2,"['1971', 3, '31', '20:10']","Perth, Scotland, United Kingdom","Perth, Perth and Kinross, Scotland, PH1, United Kingdom","('56n3958', '3w4335')",<flatlib.chart.Chart object at 0x6246b57b8>
Jessica_Lange,r_producers,3,"['1949', 4, '20', '11:00']","Cloquet, Minnesota, United States","Cloquet, Carlton County, Minnesota, United States of America","('46n7216', '92w4594')",<flatlib.chart.Chart object at 0x6242bc9b0>
Will_Smith,r_producers,6,"['1968', 9, '25', '01:46']","Philadelphia, Pennsylvania, United States","Philadelphia, Philadelphia County, Pennsylvania, United States of America","('39n9527', '75w1635')",<flatlib.chart.Chart object at 0x6242bcd68>
Danny_Trejo,r_producers,7,"['1944', 5, '16']","Echo Park, Los Angeles, United States","Echo Park, Los Angeles, Los Angeles County, California, 90026-3148, United States of America","('34n078', '118w2568')",<flatlib.chart.Chart object at 0x624321f98>
Sylvester_Stallone,r_producers,8,"['1946', 7, '6', '19:20']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6245e30f0>
Jean-Claude_Van_Damme,r_producers,9,"['1960', 10, '18', '06:45']","Sint-Agatha-Berchem, Belgium","Berchem-Sainte-Agathe - Sint-Agatha-Berchem, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1082, België - Belgique - Belgien","('50n8649', '4e2947')",<flatlib.chart.Chart object at 0x6245e3048>
William_Baldwin,r_producers,10,"['1963', 2, '21']","Massapequa, New York, United States","Massapequa, Veterans Blvd, Seaford, Nassau County, New York, 11758, United States of America","('40n677', '73w4683')",<flatlib.chart.Chart object at 0x6245ed5f8>
Clint_Eastwood,r_producers,11,"['1930', 5, '31', '17:35']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x624823748>
Christopher_Reeve,r_producers,12,"['1952', 9, '25', '03:12']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62463df60>
Laurence_Fishburne,r_producers,13,"['1961', 7, '30']","Augusta, Georgia, United States","Augusta, Richmond County, Georgia, 30901, United States of America","('33n471', '81w9748')",<flatlib.chart.Chart object at 0x62463d390>
Bruce_Campbell,r_producers,14,"['1958', 6, '22']","Royal Oak, Michigan, United States","Royal Oak, Oakland County, Michigan, United States of America","('42n4895', '83w1446')",<flatlib.chart.Chart object at 0x62471d470>
Pierce_Brosnan,r_producers,15,"['1953', 5, '16', '12:05']","Drogheda, Ireland","Drogheda, County Louth, Leinster, A92 EVH6, Ireland","('53n715', '6w3524')",<flatlib.chart.Chart object at 0x62471d7b8>
Goldie_Hawn,r_producers,16,"['1945', 11, '21', '09:20']","Washington, District of Columbia, United States","Washington, District of Columbia, 20500, United States of America","('38n8949', '77w0366')",<flatlib.chart.Chart object at 0x6245f7320>
François_Truffaut,r_producers,17,"['1932', 2, '6', '06:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6245f7710>
Drew_Barrymore,r_producers,18,"['1975', 2, '22', '11:51']","Culver City, California, United States","Culver City, Los Angeles County, California, United States of America","('34n0211', '118w3965')",<flatlib.chart.Chart object at 0x62433d1d0>
Paul_Newman,r_producers,19,"['1925', 1, '26', '06:30']","Cleveland, Ohio, United States","Cleveland, Cuyahoga County, Ohio, United States of America","('41n5052', '81w6934')",<flatlib.chart.Chart object at 0x6247efbe0>
Ben_Affleck,r_producers,20,"['1972', 8, '15', '02:53']","Berkeley, California, United States","Berkeley, Alameda County, California, United States of America","('37n8708', '122w2729')",<flatlib.chart.Chart object at 0x6247ef240>
Al_Pacino,r_producers,21,"['1940', 4, '25', '11:02']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6246ecd30>
Vincent_D'Onofrio,r_producers,22,"['1959', 6, '30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6246eca58>
John_Cusack,r_producers,23,"['1966', 6, '28']","Evanston, Illinois, United States","Evanston, Cook County, Illinois, United States of America","('42n0447', '87w693')",<flatlib.chart.Chart object at 0x6250afc18>
John_Malkovich,r_producers,24,"['1953', 12, '9', '23:39']","Christopher, Illinois, United States","Christopher, Franklin County, Illinois, 62822, United States of America","('37n9726', '89w0534')",<flatlib.chart.Chart object at 0x6253e5400>
Vin_Diesel,r_producers,25,"['1967', 7, '18', '14:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6253e5f28>
Julianne_Moore,r_producers,26,"['1960', 12, '3', '17:53']","Fayetteville, North Carolina, United States","Fayetteville, Cumberland County, North Carolina, United States of America","('35n0526', '78w8783')",<flatlib.chart.Chart object at 0x625343668>
Chris_Penn,r_producers,27,"['1965', 10, '10']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x625343f60>
Ben_Stiller,r_producers,28,"['1965', 11, '30', '17:35']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624fc62e8>
Owen_Wilson,r_producers,29,"['1968', 11, '18']","Dallas, Texas, United States","Dallas, Dallas County, Texas, United States of America","('32n7763', '96w7969')",<flatlib.chart.Chart object at 0x624fc6908>
Christian_Slater,r_producers,30,"['1969', 8, '18']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6254728d0>
Stellan_Skarsgård,r_producers,31,"['1951', 6, '13']","Gothenburg, Sweden","Göteborg, Göteborgs Stad, Västra Götalands län, Götaland, Sverige","('57n7072', '11e967')",<flatlib.chart.Chart object at 0x625472b00>
David_Bowie,r_producers,32,"['1947', 1, '8', '09:00']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6254790f0>
Wesley_Snipes,r_producers,33,"['1962', 7, '31']","Orlando, Florida, United States","Orlando, Central Boulevard, Thornton Park, Orlando, Orange County, Florida, 32801, United States of America","('28n5421', '81w379')",<flatlib.chart.Chart object at 0x6254790b8>
Billy_Zane,r_producers,34,"['1966', 2, '24']","Chicago, Illinois, United States","Chicago, Cook County, Illinois, United States of America","('41n8756', '87w6244')",<flatlib.chart.Chart object at 0x6242c9e10>
Jack_Nicholson,r_producers,35,"['1937', 4, '22', '11:00']","Neptune, New Jersey, United States","Neptune, Monmouth County, New Jersey, 07753, United States of America","('40n224', '74w0478')",<flatlib.chart.Chart object at 0x6242c97b8>
Michael_Keaton,r_producers,36,"['1951', 9, '5']","Coraopolis, United States","Coraopolis, Allegheny County, Pennsylvania, 15108, United States of America","('40n5184', '80w1667')",<flatlib.chart.Chart object at 0x6248fe208>
Robert_Duvall,r_producers,37,"['1931', 1, '5', '05:10']","San Diego, California, United States","San Diego, San Diego County, California, United States of America","('32n7174', '117w1628')",<flatlib.chart.Chart object at 0x6246e4160>
Diane_Keaton,r_producers,38,"['1946', 1, '5', '02:49']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6246e4128>
Michael_J._Fox,r_producers,39,"['1961', 6, '9', '00:15']","Edmonton, Alberta, Canada","Edmonton, Alberta, Canada","('53n5354', '113w508')",<flatlib.chart.Chart object at 0x6245f4940>
Laura_Dern,r_producers,40,"['1967', 2, '10', '07:48']","Santa Monica, California, United States","Santa Monica, Los Angeles County, California, United States of America","('34n0251', '118w4965')",<flatlib.chart.Chart object at 0x6249d3ba8>
Balthazar_Getty,r_producers,41,"['1975', 1, '22', '15:40']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6249d3b38>
Giovanni_Ribisi,r_producers,42,"['1974', 12, '17', '20:15']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6255df438>
Kevin_Spacey,r_producers,43,"['1959', 7, '26']","South Orange, United States","South Orange, Essex County, New Jersey, United States of America","('40n7475', '74w2635')",<flatlib.chart.Chart object at 0x6250980f0>
Michael_Douglas,r_producers,44,"['1944', 9, '25', '10:30']","New Brunswick, New Jersey, United States","New Brunswick, Middlesex County, New Jersey, United States of America","('40n4862', '74w4518')",<flatlib.chart.Chart object at 0x625098908>
Sean_Penn,r_producers,45,"['1960', 8, '17', '15:17']","Burbank, California, United States","Burbank, Los Angeles County, California, United States of America","('34n1816', '118w3259')",<flatlib.chart.Chart object at 0x624807cc0>
Jodie_Foster,r_producers,46,"['1962', 11, '19', '08:14']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6248077b8>
Forest_Whitaker,r_producers,47,"['1961', 7, '15', '10:30']","Longview, Texas, United States","Longview, Gregg County, Texas, United States of America","('32n5007', '94w7405')",<flatlib.chart.Chart object at 0x6248100f0>
Edward_James_Olmos,r_producers,48,"['1947', 2, '24', '01:05']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x624810908>
Tim_Curry,r_producers,49,"['1946', 4, '19', '12:00']","Grappenhall, United Kingdom","Grappenhall, Warrington, North West England, England, WA4 3EP, United Kingdom","('53n3718', '2w5448')",<flatlib.chart.Chart object at 0x6248050f0>
Jeff_Bridges,r_producers,51,"['1949', 12, '4', '23:58']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x624805940>
Ryan_Phillippe,r_producers,52,"['1974', 9, '10', '17:18']","New Castle, Delaware, United States","New Castle County, Delaware, United States of America","('39n616', '75w663')",<flatlib.chart.Chart object at 0x6247f6fd0>
Rene_Russo,r_producers,53,"['1954', 2, '17']","Burbank, California, United States","Burbank, Los Angeles County, California, United States of America","('34n1816', '118w3259')",<flatlib.chart.Chart object at 0x6247f67b8>
Tom_Hanks,r_producers,54,"['1956', 7, '9', '11:17']","Concord, California, United States","Concord, Contra Costa County, California, United States of America","('37n9769', '122w0336')",<flatlib.chart.Chart object at 0x6247f7128>
Johnny_Depp,r_producers,55,"['1963', 6, '9', '08:44']","Owensboro, Kentucky, United States","Owensboro, Daviess County, Kentucky, United States of America","('37n7742', '87w1133')",<flatlib.chart.Chart object at 0x6247f7940>
Kevin_Bacon,r_producers,56,"['1958', 7, '8']","Philadelphia, Pennsylvania, United States","Philadelphia, Philadelphia County, Pennsylvania, United States of America","('39n9527', '75w1635')",<flatlib.chart.Chart object at 0x6247d7128>
Matt_Damon,r_producers,58,"['1970', 10, '8', '15:22']","Boston, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States of America","('42n3603', '71w0583')",<flatlib.chart.Chart object at 0x6247d7940>
Woody_Allen,r_producers,59,"['1935', 12, '1', '22:55']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6247ec128>
Alec_Baldwin,r_producers,60,"['1958', 4, '3']","Massapequa, New York, United States","Massapequa, Veterans Blvd, Seaford, Nassau County, New York, 11758, United States of America","('40n677', '73w4683')",<flatlib.chart.Chart object at 0x6247ec0f0>
