name,occupation,count,birthtime,birthplace,location,point,chart
Emperor_Shōwa,r_rulers,0,"['1901', 4, '29', '22:10']","Tokyo, Japan","東京都, 日本 (Japan)","('35n6828', '139e7595')",<flatlib.chart.Chart object at 0x6270b0160>
Kaiser_Wilhelm_II,r_rulers,1,"['1859', 1, '27', '15:00']","Berlin, Germany","Berlin, Deutschland","('52n517', '13e3889')",<flatlib.chart.Chart object at 0x626f16c88>
Princess_Diana,r_rulers,2,"['1961', 7, '1', '19:45']","Sandringham, England, United Kingdom","Sandringham, Norfolk, East of England, England, PE35 6EN, United Kingdom","('52n8294', '0e5156')",<flatlib.chart.Chart object at 0x626f12a20>
Tsar_Nicholas_II,r_rulers,3,"['1868', 5, '18', '00:15']","Saint Petersburg, Russia","Санкт-Петербург, Северо-Западный федеральный округ, 190000, Россия","('59n9607', '30e1587')",<flatlib.chart.Chart object at 0x626f12240>
Norodom_Sihanouk,r_rulers,4,"['1922', 10, '31', '19:05']","Phnom Penh, Cambodia","រាជធានីភ្នំពេញ, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ, 11213, Cambodia","('11n5683', '104e9224')",<flatlib.chart.Chart object at 0x626eef1d0>
Prince_Harry_Windsor,r_rulers,5,"['1984', 9, '15', '16:20']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x626eef278>
"Prince_William,_Duke_of_Cambridge",r_rulers,6,"['1982', 6, '21', '21:03']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6253480b8>
"Catherine,_Duchess_of_Cambridge",r_rulers,7,"['1982', 1, '9']","Reading, England, United Kingdom","Reading, South East, England, United Kingdom","('51n4515', '0w9836')",<flatlib.chart.Chart object at 0x626eefdd8>
King_Haakon_VII,r_rulers,9,"['1872', 8, '3']","Charlottenlund, Denmark","Charlottenlund, Klampenborg, Gentofte Kommune, Region Hovedstaden, 2920, Danmark","('55n7553', '12e5671')",<flatlib.chart.Chart object at 0x6278beda0>
King_Christian_X,r_rulers,10,"['1870', 9, '26']","Charlottenlund, Denmark","Charlottenlund, Klampenborg, Gentofte Kommune, Region Hovedstaden, 2920, Danmark","('55n7553', '12e5671')",<flatlib.chart.Chart object at 0x6278beb00>
