name,occupation,count,birthtime,birthplace,location,point,chart
Eddie_Murphy,r_script-writers,0,"['1961', 4, '3', '13:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624bf1908>
Peter_Jackson,r_script-writers,1,"['1961', 10, '31', '18:45']","Porirua, Wellington, New Zealand","Porirua, Porirua City, Wellington, 5022, New Zealand","('41s1355', '174e8397')",<flatlib.chart.Chart object at 0x6253ff1d0>
Ewan_McGregor,r_script-writers,3,"['1971', 3, '31', '20:10']","Perth, Scotland, United Kingdom","Perth, Perth and Kinross, Scotland, PH1, United Kingdom","('56n3958', '3w4335')",<flatlib.chart.Chart object at 0x6253ff978>
Bill_Paxton,r_script-writers,4,"['1955', 5, '17']","Fort Worth, Texas, United States","Fort Worth, Tarrant County, Texas, United States of America","('32n7532', '97w3327')",<flatlib.chart.Chart object at 0x6253db160>
George_Clooney,r_script-writers,5,"['1961', 5, '6', '02:58']","Lexington, Kentucky, United States","Lexington, Fayette County, Kentucky, 40508, United States of America","('38n0464', '84w497')",<flatlib.chart.Chart object at 0x6253db908>
Sylvester_Stallone,r_script-writers,6,"['1946', 7, '6', '19:20']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6253e1198>
Jean-Claude_Van_Damme,r_script-writers,7,"['1960', 10, '18', '06:45']","Sint-Agatha-Berchem, Belgium","Berchem-Sainte-Agathe - Sint-Agatha-Berchem, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1082, België - Belgique - Belgien","('50n8649', '4e2947')",<flatlib.chart.Chart object at 0x6253e1898>
Clint_Eastwood,r_script-writers,8,"['1930', 5, '31', '17:35']","San Francisco, California, United States","San Francisco, San Francisco City and County, California, United States of America","('37n779', '122w4199')",<flatlib.chart.Chart object at 0x62540a0b8>
Christopher_Reeve,r_script-writers,9,"['1952', 9, '25', '03:12']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62540a898>
Bruce_Campbell,r_script-writers,10,"['1958', 6, '22']","Royal Oak, Michigan, United States","Royal Oak, Oakland County, Michigan, United States of America","('42n4895', '83w1446')",<flatlib.chart.Chart object at 0x6253de160>
Paul_Newman,r_script-writers,11,"['1925', 1, '26', '06:30']","Cleveland, Ohio, United States","Cleveland, Cuyahoga County, Ohio, United States of America","('41n5052', '81w6934')",<flatlib.chart.Chart object at 0x6253de978>
Ben_Affleck,r_script-writers,12,"['1972', 8, '15', '02:53']","Berkeley, California, United States","Berkeley, Alameda County, California, United States of America","('37n8708', '122w2729')",<flatlib.chart.Chart object at 0x6253f6160>
Al_Pacino,r_script-writers,13,"['1940', 4, '25', '11:02']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6253f6898>
John_Cusack,r_script-writers,15,"['1966', 6, '28']","Evanston, Illinois, United States","Evanston, Cook County, Illinois, United States of America","('42n0447', '87w693')",<flatlib.chart.Chart object at 0x6254032b0>
Vin_Diesel,r_script-writers,16,"['1967', 7, '18', '14:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x625403898>
Kenneth_Branagh,r_script-writers,17,"['1960', 12, '10', '16:50']","Belfast, Northern Ireland, United Kingdom","Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","('54n5964', '5w9303')",<flatlib.chart.Chart object at 0x625403908>
Ben_Stiller,r_script-writers,18,"['1965', 11, '30', '17:35']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6253fe898>
Owen_Wilson,r_script-writers,19,"['1968', 11, '18']","Dallas, Texas, United States","Dallas, Dallas County, Texas, United States of America","('32n7763', '96w7969')",<flatlib.chart.Chart object at 0x6253e4160>
Jack_Nicholson,r_script-writers,20,"['1937', 4, '22', '11:00']","Neptune, New Jersey, United States","Neptune, Monmouth County, New Jersey, 07753, United States of America","('40n224', '74w0478')",<flatlib.chart.Chart object at 0x6253e4128>
Orson_Welles,r_script-writers,21,"['1915', 5, '6', '07:00']","Kenosha, Wisconsin, United States","Kenosha, Kenosha County, Wisconsin, United States of America","('42n5847', '87w8212')",<flatlib.chart.Chart object at 0x62540b198>
Robert_Duvall,r_script-writers,22,"['1931', 1, '5', '05:10']","San Diego, California, United States","San Diego, San Diego County, California, United States of America","('32n7174', '117w1628')",<flatlib.chart.Chart object at 0x62540b9b0>
Laura_Dern,r_script-writers,23,"['1967', 2, '10', '07:48']","Santa Monica, California, United States","Santa Monica, Los Angeles County, California, United States of America","('34n0251', '118w4965')",<flatlib.chart.Chart object at 0x6253f0160>
Gwyneth_Paltrow,r_script-writers,24,"['1972', 9, '27', '17:25']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6253f0978>
Kevin_Spacey,r_script-writers,25,"['1959', 7, '26']","South Orange, United States","South Orange, Essex County, New Jersey, United States of America","('40n7475', '74w2635')",<flatlib.chart.Chart object at 0x6253d7160>
Sean_Penn,r_script-writers,26,"['1960', 8, '17', '15:17']","Burbank, California, United States","Burbank, Los Angeles County, California, United States of America","('34n1816', '118w3259')",<flatlib.chart.Chart object at 0x6253d7978>
Matt_Damon,r_script-writers,28,"['1970', 10, '8', '15:22']","Boston, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States of America","('42n3603', '71w0583')",<flatlib.chart.Chart object at 0x6253f2240>
Woody_Allen,r_script-writers,29,"['1935', 12, '1', '22:55']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6253f2908>
Rowan_Atkinson,r_script-writers,30,"['1955', 1, '6']","Consett, England, United Kingdom","Consett, County Durham, North East England, England, United Kingdom","('54n8519', '1w8334')",<flatlib.chart.Chart object at 0x6253df198>
Alec_Baldwin,r_script-writers,31,"['1958', 4, '3']","Massapequa, New York, United States","Massapequa, Veterans Blvd, Seaford, Nassau County, New York, 11758, United States of America","('40n677', '73w4683')",<flatlib.chart.Chart object at 0x6253df160>
Albert_Brooks,r_script-writers,32,"['1947', 7, '22', '03:00']","Los Angeles, California, United States","Los Angeles, Los Angeles County, California, United States of America","('34n0537', '118w2428')",<flatlib.chart.Chart object at 0x6253e0160>
Dana_Carvey,r_script-writers,33,"['1955', 6, '2', '12:45']","Missoula, Montana, United States","Missoula, Missoula County, Montana, 59802, United States of America","('46n8701', '113w9953')",<flatlib.chart.Chart object at 0x6253e09b0>
Charlie_Chaplin,r_script-writers,34,"['1889', 4, '16', '20:00']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6253e6160>
Peter_Fonda,r_script-writers,36,"['1940', 2, '23', '12:09']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x6253e6940>
Steve_Martin,r_script-writers,37,"['1945', 8, '14', '05:54']","Waco, Texas, United States","Waco, McLennan County, Texas, United States of America","('31n5493', '97w1467')",<flatlib.chart.Chart object at 0x6253fd160>
Bill_Murray,r_script-writers,38,"['1950', 9, '21']","Wilmette, United States","Wilmette, Cook County, Illinois, 60091, United States of America","('42n0757', '87w7194')",<flatlib.chart.Chart object at 0x6253fd978>
Mike_Myers,r_script-writers,39,"['1963', 5, '25', '12:01']","Toronto, Ontario, Canada","Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","('43n6535', '79w3839')",<flatlib.chart.Chart object at 0x6253fd940>
Dennis_Quaid,r_script-writers,40,"['1954', 4, '9']","Houston, Texas, United States","Houston, Harris County, Texas, 77002-5902, United States of America","('29n7589', '95w3677')",<flatlib.chart.Chart object at 0x10fccf9b0>
Alan_Rickman,r_script-writers,41,"['1946', 2, '21']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x10fcd6160>
Mickey_Rourke,r_script-writers,42,"['1952', 9, '16', '23:17']","Schenectady, New York, United States","Schenectady, Schenectady County, New York, United States of America","('42n8142', '73w9396')",<flatlib.chart.Chart object at 0x10fcd6978>
John_Turturro,r_script-writers,43,"['1957', 2, '28']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x10fd02160>
James_Woods,r_script-writers,44,"['1947', 4, '18', '11:30']","Vernal, Utah, United States","Vernal, Uintah County, Utah, 84078, United States of America","('40n4557', '109w5285')",<flatlib.chart.Chart object at 0x10fd02978>
Helen_Hunt,r_script-writers,45,"['1963', 6, '15', '12:55']","Culver City, California, United States","Culver City, Los Angeles County, California, United States of America","('34n0211', '118w3965')",<flatlib.chart.Chart object at 0x10fcd8160>
