name,occupation,count,birthtime,birthplace,location,point,chart
Jiří_Trnka,r_sculptors,0,"['1912', 2, '24']","Pilsen, Czech Republic","Plzeň, okres Plzeň-město, Plzeňský kraj, Jihozápad, Česká republika","('49n7477', '13e3775')",<flatlib.chart.Chart object at 0x624aa64a8>
Roy_Lichtenstein,r_sculptors,2,"['1923', 10, '27']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624aa6908>
H._R._Giger,r_sculptors,3,"['1940', 2, '5', '16:45']","Chur, Switzerland","Chur, Plessur, Graubünden/Grigioni/Grischun, Switzerland","('46n8555', '9e5254')",<flatlib.chart.Chart object at 0x624b010f0>
Frederic-Auguste_Bartholdi,r_sculptors,6,"['1834', 8, '2', '06:30']","Colmar, France","Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France","('48n0778', '7e358')",<flatlib.chart.Chart object at 0x624b01f98>
Umberto_Boccioni,r_sculptors,7,"['1882', 10, '19', '15:15']","Reggio Calabria, Italy","Reggio di Calabria, Calabria, Italia","('38n1035', '15e6398')",<flatlib.chart.Chart object at 0x6242d3198>
Henry_Moore,r_sculptors,9,"['1898', 7, '30', '20:00']","Castleford, England, United Kingdom","Castleford, Yorkshire and the Humber, England, WF10 4EF, United Kingdom","('53n7224', '1w3513')",<flatlib.chart.Chart object at 0x6242d3358>
Vladimir_Tatlin,r_sculptors,11,"['1885', 12, '28']","Kiev, Ukraine","Київ, Україна","('50n45', '30e5241')",<flatlib.chart.Chart object at 0x62504fba8>
Leonardo_da_Vinci,r_sculptors,12,"['1452', 4, '23', '21:40']","Vinci, Italy","Vinci, Firenze, Toscana, 50059, Italia","('43n7874', '10e9271')",<flatlib.chart.Chart object at 0x62504fc18>
Michelangelo_Buonarroti,r_sculptors,13,"['1475', 3, '15', '01:45']","Caprese Michelangelo, Italy","Caprese Michelangelo, Arezzo, Toscana, 52033, Italia","('43n6399', '11e9848')",<flatlib.chart.Chart object at 0x624b10710>
Auguste_Dumont,r_sculptors,15,"['1801', 8, '4', '03:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x624b10748>
G._F._Watts,r_sculptors,16,"['1817', 2, '23', '01:00']","London, England, United Kingdom","London, Greater London, England, SW1A 2DX, United Kingdom","('51n5073', '0w1276')",<flatlib.chart.Chart object at 0x6253a0f98>
