name,occupation,count,birthtime,birthplace,location,point,chart
Serena_Williams,r_tennis-players,0,"['1981', 9, '26', '20:28']","Saginaw, Michigan, United States","Saginaw, Saginaw County, Michigan, 48607, United States of America","('43n42', '83w949')",<flatlib.chart.Chart object at 0x6249d6e10>
Venus_Williams,r_tennis-players,1,"['1980', 6, '17', '14:12']","Lynwood, California, United States","Lynwood, Los Angeles County, California, United States of America","('33n9248', '118w2024')",<flatlib.chart.Chart object at 0x6249d6ba8>
John_McEnroe,r_tennis-players,2,"['1959', 2, '16', '22:30']","Wiesbaden, Germany","Wiesbaden, Hessen, 65183, Deutschland","('50n082', '8e2417')",<flatlib.chart.Chart object at 0x6249d6d30>
Novak_Djokovic,r_tennis-players,3,"['1987', 5, '22', '23:25']","Belgrade, Serbia","Београд, Град Београд, Централна Србија, 11000, Србија (Serbia)","('44n8178', '20e4569')",<flatlib.chart.Chart object at 0x6248245c0>
Steffi_Graf,r_tennis-players,5,"['1969', 6, '14', '04:40']","Mannheim, Germany","Mannheim, Baden-Württemberg, 68161, Deutschland","('49n4896', '8e4672')",<flatlib.chart.Chart object at 0x6245de6d8>
Andre_Agassi,r_tennis-players,6,"['1970', 4, '29']","Las Vegas, United States","Las Vegas, Clark County, Nevada, United States of America","('36n1673', '115w1485')",<flatlib.chart.Chart object at 0x624d50550>
Roger_Federer,r_tennis-players,7,"['1981', 8, '8', '08:40']","Basel, Switzerland","Basel, Basel-Stadt, Switzerland","('47n5581', '7e5878')",<flatlib.chart.Chart object at 0x624d503c8>
David_Ferrer,r_tennis-players,8,"['1982', 4, '2']","Valencia, Spain","València, Comarca de València, València / Valencia, Comunitat Valenciana, España","('39n4699', '0w376')",<flatlib.chart.Chart object at 0x6245ded68>
Rafael_Nadal,r_tennis-players,9,"['1986', 6, '3', '18:20']","Manacor, Spain","Manacor, Llevant, Illes Balears, España","('39n5696', '3e2106')",<flatlib.chart.Chart object at 0x624613e48>
Caroline_Wozniacki,r_tennis-players,11,"['1990', 7, '11']","Odense, Denmark","Odense, Odense Kommune, Region Syddanmark, 5000, Danmark","('55n3997', '10e3852')",<flatlib.chart.Chart object at 0x624258240>
Helen_Wills_Moody,r_tennis-players,12,"['1905', 10, '6', '02:25']","Berkeley, California, United States","Berkeley, Alameda County, California, United States of America","('37n8708', '122w2729')",<flatlib.chart.Chart object at 0x6242582b0>
Timo_Boll,r_tennis-players,14,"['1981', 3, '8']","Erbach im Odenwald, Germany","Erbach (Odenwald), Odenwaldkreis, Hessen, 64711, Deutschland","('49n6588', '8e9952')",<flatlib.chart.Chart object at 0x624258358>
Samantha_Stosur,r_tennis-players,15,"['1984', 3, '30']","Brisbane, Queensland, Australia","Brisbane, Queensland, 4004, Australia","('27s469', '153e0235')",<flatlib.chart.Chart object at 0x6248b2e80>
Vitas_Gerulaitis,r_tennis-players,16,"['1954', 7, '26', '04:00']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x62333a208>
Ana_Ivanovic,r_tennis-players,17,"['1987', 11, '6']","Belgrade, Serbia","Београд, Град Београд, Централна Србија, 11000, Србија (Serbia)","('44n8178', '20e4569')",<flatlib.chart.Chart object at 0x62333a6d8>
Jean_Borotra,r_tennis-players,18,"['1898', 8, '13', '17:00']","Biarritz, France","Biarritz, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64200, France","('43n4833', '1w5593')",<flatlib.chart.Chart object at 0x625444ac8>
Suzanne_Lenglen,r_tennis-players,19,"['1899', 5, '24', '19:00']","Compigne, France","Compiègne, Oise, Hauts-de-France, France métropolitaine, 60200, France","('49n4179', '2e8263')",<flatlib.chart.Chart object at 0x625686a90>
Henri_Cochet,r_tennis-players,20,"['1901', 12, '14', '11:00']","Villeurbanne, France","Villeurbanne, Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France","('45n7733', '4e8869')",<flatlib.chart.Chart object at 0x625686710>
René_Lacoste,r_tennis-players,21,"['1904', 7, '2', '05:00']","Paris, France","Paris, Île-de-France, France métropolitaine, France","('48n8567', '2e3515')",<flatlib.chart.Chart object at 0x6242ff208>
Pauline_Betz,r_tennis-players,22,"['1919', 8, '6', '02:50']","Dayton, United States","Dayton, Montgomery County, Ohio, United States of America","('39n7589', '84w1916')",<flatlib.chart.Chart object at 0x6247e9cc0>
Jack_Kramer,r_tennis-players,23,"['1921', 8, '1', '01:45']","Las Vegas, United States","Las Vegas, Clark County, Nevada, United States of America","('36n1673', '115w1485')",<flatlib.chart.Chart object at 0x6247e9630>
Shirley_Fry,r_tennis-players,24,"['1927', 6, '30', '12:35']","Akron, United States","Akron, Summit County, Ohio, United States of America","('41n0831', '81w5185')",<flatlib.chart.Chart object at 0x6248a89b0>
Maureen_Connolly,r_tennis-players,25,"['1934', 9, '17', '12:07']","San Diego, United States","San Diego, San Diego County, California, United States of America","('32n7174', '117w1628')",<flatlib.chart.Chart object at 0x6248a6518>
Arthur_Ashe,r_tennis-players,26,"['1943', 7, '10', '12:55']","Richmond, Virginia, United States","Richmond, Richmond City, Virginia, 23298, United States of America","('37n5385', '77w4343')",<flatlib.chart.Chart object at 0x6248a6240>
Billie_Jean_King,r_tennis-players,27,"['1943', 11, '22', '11:45']","Long Beach, United States","Long Beach, Los Angeles County, California, United States of America","('33n769', '118w1916')",<flatlib.chart.Chart object at 0x6248aa6d8>
Stan_Smith,r_tennis-players,28,"['1946', 12, '14', '22:13']","Pasadena, United States","Pasadena, Los Angeles County, California, United States of America","('34n1476', '118w1445')",<flatlib.chart.Chart object at 0x6248ab2b0>
Jimmy_Connors,r_tennis-players,29,"['1952', 9, '2', '10:30']","East Saint Louis, United States","East Saint Louis, Saint Clair, Illinois, United States of America","('38n6245', '90w1509')",<flatlib.chart.Chart object at 0x6248b0da0>
Björn_Borg,r_tennis-players,30,"['1956', 6, '6', '23:55']","Stockholm, Sweden","Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige","('59n3251', '18e0711')",<flatlib.chart.Chart object at 0x6248b00b8>
