name,occupation,count,birthtime,birthplace,location,point,chart
Bruce_Campbell,r_writers,0,"['1958', 6, '22']","Royal Oak, Michigan, United States","Royal Oak, Oakland County, Michigan, United States of America","('42n4895', '83w1446')",<flatlib.chart.Chart object at 0x6248b46a0>
Peter_Stormare,r_writers,1,"['1953', 8, '27']","Kumla, Sweden","Kumla kommun, Örebro län, Svealand, Sverige","('59n118', '15e1206')",<flatlib.chart.Chart object at 0x6248b4630>
Julie_Andrews,r_writers,3,"['1935', 10, '1', '06:00']","Walton-on-Thames, England, United Kingdom","Walton-on-Thames, Surrey, South East, England, United Kingdom","('51n3857', '0w4198')",<flatlib.chart.Chart object at 0x10fc93748>
John_Cleese,r_writers,4,"['1939', 10, '27', '03:15']","Weston-super-Mare, England, United Kingdom","Weston-super-Mare, North Somerset, South West England, England, BS23 1SL, United Kingdom","('51n3472', '2w9779')",<flatlib.chart.Chart object at 0x10fc93da0>
Jerry_Lewis,r_writers,5,"['1926', 3, '16', '12:15']","Newark, New Jersey, United States","Newark, Essex County, New Jersey, United States of America","('40n7357', '74w1724')",<flatlib.chart.Chart object at 0x10fc95668>
Anny_Duperey,r_writers,6,"['1947', 6, '28', '08:55']","Rouen, France","Rouen, Seine-Maritime, Normandie, France métropolitaine, France","('49n4405', '1e094')",<flatlib.chart.Chart object at 0x10fc95da0>
Michael_Palin,r_writers,7,"['1943', 5, '5', '11:45']","Sheffield, England, United Kingdom","Sheffield, Yorkshire and the Humber, England, United Kingdom","('53n3807', '1w4702')",<flatlib.chart.Chart object at 0x10fc8f6a0>
Irvine_Welsh,r_writers,8,"['1957', 9, '27', '15:20']","Edinburgh, Scotland, United Kingdom","Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom","('55n9533', '3w1884')",<flatlib.chart.Chart object at 0x10fc8fda0>
Michelangelo_Antonioni,r_writers,9,"['1912', 9, '29', '21:45']","Ferrara, Italy","Ferrara, Emilia-Romagna, Italia","('44n7668', '11e8279')",<flatlib.chart.Chart object at 0x10fc8fe80>
Clive_Barker,r_writers,10,"['1952', 10, '5', '01:00']","Liverpool, England, United Kingdom","Liverpool, North West England, England, United Kingdom","('53n4072', '2w9917')",<flatlib.chart.Chart object at 0x10fc9ae10>
Tim_Burton,r_writers,11,"['1958', 8, '25', '23:49']","Burbank, California, United States","Burbank, Los Angeles County, California, United States of America","('34n1816', '118w3259')",<flatlib.chart.Chart object at 0x10fc9c668>
Stephen_King,r_writers,12,"['1947', 9, '21', '01:30']","Portland, Maine, United States","Portland, Cumberland County, Maine, United States of America","('43n661', '70w2549')",<flatlib.chart.Chart object at 0x10fc9c630>
Sidney_Lumet,r_writers,13,"['1924', 6, '25']","Philadelphia, Pennsylvania, United States","Philadelphia, Philadelphia County, Pennsylvania, United States of America","('39n9527', '75w1635')",<flatlib.chart.Chart object at 0x10fc9e668>
Pier_Paolo_Pasolini,r_writers,14,"['1922', 3, '5', '06:30']","Bologna, Italy","Bologna, Emilia-Romagna, Italia","('44n4937', '11e343')",<flatlib.chart.Chart object at 0x10fc9ee10>
Franco_Zeffirelli,r_writers,15,"['1923', 2, '12', '12:00']","Florence, Italy","Firenze, Toscana, Italia","('43n7699', '11e2556')",<flatlib.chart.Chart object at 0x10fc9a668>
Rob_Zombie,r_writers,16,"['1965', 1, '12', '16:44']","Haverhill, Massachusetts, United States","Haverhill, Essex County, Massachusetts, 01830, United States of America","('42n7778', '71w0768')",<flatlib.chart.Chart object at 0x10fca1e80>
Truman_Capote,r_writers,17,"['1924', 9, '30', '15:00']","New Orleans, Louisiana, United States","New Orleans, Orleans Parish, Louisiana, United States of America","('29n9499', '90w0701')",<flatlib.chart.Chart object at 0x10fca2668>
Bob_Dylan,r_writers,18,"['1941', 5, '24', '21:05']","Duluth, Minnesota, United States","Duluth, Saint Louis County, Minnesota, United States of America","('46n7729', '92w1251')",<flatlib.chart.Chart object at 0x10fca2e80>
Jacques_Brel,r_writers,19,"['1929', 4, '8', '03:00']","Schaerbeek, Belgium","Schaerbeek - Schaarbeek, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België - Belgique - Belgien","('50n8676', '4e3737')",<flatlib.chart.Chart object at 0x10fca2e48>
Hugh_Laurie,r_writers,21,"['1959', 6, '11']","Oxford, England, United Kingdom","Oxford, Oxfordshire, South East, England, United Kingdom","('51n752', '1w2578')",<flatlib.chart.Chart object at 0x10fca6e48>
Donald_Trump,r_writers,22,"['1946', 6, '14', '10:54']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x10fc8c668>
Nick_Cave,r_writers,23,"['1957', 9, '22']","Wangaratta, Victoria, Australia","Wangaratta, Rural City of Wangaratta, Victoria, Australia","('36s3653', '146e312')",<flatlib.chart.Chart object at 0x10fc8ce80>
Vladimir_Vysotsky,r_writers,25,"['1938', 1, '25', '09:40']","Moscow, Russia","Москва, Центральный федеральный округ, Россия","('55n4792', '37e3273')",<flatlib.chart.Chart object at 0x10fc8ce48>
Leonard_Cohen,r_writers,27,"['1934', 9, '21', '06:45']","Montreal, Qubec, Canada","Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada","('45n4972', '73w6104')",<flatlib.chart.Chart object at 0x10fcaadd8>
James_Clavell,r_writers,28,"['1924', 10, '10', '09:50']","Sydney, New South Wales, Australia","Council of the City of Sydney, New South Wales, Australia","('33s8889', '151e2049')",<flatlib.chart.Chart object at 0x10fcad6d8>
Terry_Pratchett,r_writers,29,"['1948', 4, '28']","Beaconsfield, England, United Kingdom","Beaconsfield, Buckinghamshire, South East, England, HP9 1HW, United Kingdom","('51n6083', '0w6571')",<flatlib.chart.Chart object at 0x10fcad5f8>
Václav_Havel,r_writers,30,"['1936', 10, '5', '15:00']","Prague, Czech Republic","Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika","('50n0875', '14e4213')",<flatlib.chart.Chart object at 0x10fcac6d8>
Dita_Von_Teese,r_writers,31,"['1972', 9, '28']","Rochester, Michigan, United States","Rochester, Oakland County, Michigan, United States of America","('42n6806', '83w1338')",<flatlib.chart.Chart object at 0x10fcace80>
William_S._Burroughs,r_writers,32,"['1914', 2, '5', '07:40']","St. Louis, Missouri, United States","City of Saint Louis, Missouri, United States of America","('38n653', '90w2411')",<flatlib.chart.Chart object at 0x10fcb15c0>
Alicia_Keys,r_writers,33,"['1981', 1, '25', '03:30']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x10fcb1da0>
Jim_Morrison,r_writers,34,"['1943', 12, '8', '11:55']","Melbourne Beach, Florida, United States","Melbourne Beach, Brevard County, Florida, United States of America","('28n0683', '80w5603')",<flatlib.chart.Chart object at 0x10fcb46a0>
J._K._Rowling,r_writers,35,"['1965', 7, '31', '21:10']","Yate, England, United Kingdom","Yate, South Gloucestershire, South West England, England, BS37, United Kingdom","('51n5403', '2w4133')",<flatlib.chart.Chart object at 0x10fcb4da0>
Garry_Kasparov,r_writers,36,"['1963', 4, '13', '23:45']","Baku, Azerbaijan","Baku, Bakı İnzibati Ərazisi, Azerbaijan","('40n3754', '49e8327')",<flatlib.chart.Chart object at 0x10fcb86a0>
Douglas_Adams,r_writers,37,"['1952', 3, '11', '11:10']","Cambridge, England, United Kingdom","Cambridge, Cambridgeshire, East of England, England, United Kingdom","('52n2035', '0e1236')",<flatlib.chart.Chart object at 0x10fcb8da0>
André_Breton,r_writers,39,"['1896', 2, '19', '22:00']","Tinchebray, France","Tinchebray, Argentan, Orne, Normandie, France métropolitaine, 61800, France","('48n7636', '0w7329')",<flatlib.chart.Chart object at 0x10fcb8e80>
Vladimir_Mayakovsky,r_writers,40,"['1893', 7, '19', '14:36']","Kutaisi, Georgia","ქუთაისი, იმერეთი, Georgia / საქართველო","('42n259', '42e6673')",<flatlib.chart.Chart object at 0x62495d630>
Lou_Reed,r_writers,41,"['1942', 3, '2']","Freeport, New York, United States","Freeport, Nassau County, New York, 11520, United States of America","('40n6576', '73w5832')",<flatlib.chart.Chart object at 0x62495e6a0>
Charles_Bukowski,r_writers,42,"['1920', 8, '16', '22:00']","Andernach, Germany","Andernach, Landkreis Mayen-Koblenz, Rheinland-Pfalz, 56626, Deutschland","('50n4392', '7e4023')",<flatlib.chart.Chart object at 0x62495eda0>
Jack_Kerouac,r_writers,43,"['1922', 3, '12', '17:00']","Lowell, Massachusetts, United States","Lowell, Middlesex County, Massachusetts, United States of America","('42n6334', '71w3162')",<flatlib.chart.Chart object at 0x624965668>
Carlos_Castaneda,r_writers,44,"['1925', 12, '25', '09:00']","Cajamarca, Peru","Cajamarca, Peru","('6s25', '78w8333')",<flatlib.chart.Chart object at 0x624965630>
Allen_Ginsberg,r_writers,45,"['1926', 6, '3', '02:00']","Newark, New Jersey, United States","Newark, Essex County, New Jersey, United States of America","('40n7357', '74w1724')",<flatlib.chart.Chart object at 0x6249686a0>
Carl_Sagan,r_writers,47,"['1934', 11, '9', '17:05']","New York, New York, United States","New York, United States of America","('40n7127', '74w006')",<flatlib.chart.Chart object at 0x624968e48>
Mika_Waltari,r_writers,48,"['1908', 9, '19', '18:20']","Helsinki, Finland","Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi","('60n1674', '24e9426')",<flatlib.chart.Chart object at 0x6249616a0>
Serj_Tankian,r_writers,49,"['1967', 8, '21']","Beirut, Lebanon","بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon","('33n8959', '35e4784')",<flatlib.chart.Chart object at 0x624961f28>
